Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
single,2nd phase - general contingent,first choice,Social Service,daytime,Secondary education,145.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,138.0,1,0,0,1,female,0,20,0,0,6,5,11.2,0,6,6,12.0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,137.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,126.5,1,0,0,1,female,0,18,0,0,8,8,13.76375,0,8,8,13.76375,9.4,-0.8,-3.12,Graduate
single,Short cycle diploma holders,first choice,Veterinary Nursing,daytime,Professional higher technical course,140.0,Portuguese,Secondary education,Secondary education,140.0,1,0,1,1,female,0,21,0,7,9,8,13.25,4,9,5,12.2,8.9,1.4,3.51,Enrolled
single,1st phase - general contingent,first choice,Social Service,daytime,Secondary education,120.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,112.3,0,0,0,1,female,1,22,0,0,6,5,10.71428571,0,6,5,12.2,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,first choice,Social Service,daytime,Secondary education,122.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,127.3,1,0,1,1,female,0,20,0,0,6,6,12.16666667,0,6,6,11.66666667,9.4,-0.8,-3.12,Graduate
single,Holders of other higher courses,first choice,Nursing,daytime,Higher education - degree,130.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,130.0,1,0,0,1,female,0,23,0,1,7,6,14.35714286,1,7,6,14.35714286,7.6,2.6,0.32,Graduate
single,2nd phase - general contingent,intermediate choice,Journalism and Communication,daytime,Secondary education,133.1,Portuguese,Higher education - degree,Secondary education,115.0,1,0,0,1,female,0,19,0,0,6,6,12.83333333,0,6,6,12.66666667,16.2,0.3,-0.92,Graduate
single,2nd phase - general contingent,last choice,Nursing,daytime,Secondary education,150.0,Portuguese,Secondary education,Basic education 1st cycle (4th/5th year) or equiv.,131.5,1,0,0,1,female,0,19,0,0,8,7,13.92571429,0,8,7,13.92571429,10.8,1.4,1.74,Graduate
single,Over 23 years old,first choice,Management (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,125.7,0,0,0,1,female,0,26,0,0,5,3,11.3,0,5,3,11.2,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,last choice,Nursing,daytime,Secondary education,141.0,Portuguese,Secondary education,Basic education 1st cycle (4th/5th year) or equiv.,126.8,1,0,0,1,female,0,18,0,0,7,7,13.44285714,0,8,8,13.74444444,16.2,0.3,-0.92,Graduate
single,3rd phase - general contingent,first choice,Informatics Engineering,daytime,Secondary education,146.0,Portuguese,Secondary education,Basic education 1st cycle (4th/5th year) or equiv.,132.4,1,0,0,1,male,0,18,0,0,5,5,10.2,0,5,3,10.8,9.4,-0.8,-3.12,Dropout
single,Technological specialization diploma holders,first choice,Agronomy,daytime,Technological specialization course,150.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,150.0,1,0,0,1,male,0,20,0,0,6,6,13.125,0,6,6,13.2,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,first choice,Advertising and Marketing Management,daytime,Secondary education,133.1,Portuguese,Higher education - degree,Secondary education,95.0,0,0,0,1,male,0,19,0,0,6,1,10.9,0,6,4,11.4,15.5,2.8,-4.06,Dropout
single,Change of course,first choice,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,128.2,0,0,0,0,male,0,32,0,5,9,8,11.9,4,4,8,10.6,10.8,1.4,1.74,Dropout
married,Over 23 years old,first choice,Equinculture,daytime,Secondary education,150.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,130.0,0,0,0,0,male,0,31,0,0,4,2,11.2,0,5,1,11.4,9.4,-0.8,-3.12,Dropout
single,Over 23 years old,first choice,Informatics Engineering,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv,133.1,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,100.0,0,0,0,1,male,0,25,0,0,5,1,11.0,0,5,1,10.0,13.9,-0.3,0.79,Enrolled
single,Transfer,first choice,Veterinary Nursing,daytime,Technological specialization course,140.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Higher education - degree,159.9,1,0,0,1,female,0,21,0,2,6,5,13.66666667,2,6,5,13.0,16.2,0.3,-0.92,Graduate
married,Change of course,first choice,Management (evening attendance),evening,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,100.0,0,0,0,0,female,0,31,0,2,6,6,10.3,0,5,2,10.1,12.7,3.7,-1.7,Dropout
married,Over 23 years old,first choice,Basic Education,daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,116.5,0,0,0,1,female,0,34,0,0,7,1,10.9,0,7,3,11.6,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,first choice,Social Service,daytime,Secondary education,128.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,120.0,0,0,0,1,female,1,18,0,0,6,6,13.5,0,6,6,12.83333333,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,intermediate choice,Social Service,daytime,Secondary education,117.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,117.0,1,0,1,1,female,0,19,0,0,6,5,11.5,0,6,2,11.3,12.4,0.5,1.79,Dropout
single,Short cycle diploma holders,first choice,Advertising and Marketing Management,daytime,Professional higher technical course,140.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,140.0,1,0,1,1,female,0,21,0,0,6,1,12.0,0,6,1,11.0,8.9,1.4,3.51,Enrolled
single,1st phase - general contingent,intermediate choice,Basic Education,daytime,Secondary education,124.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,118.1,1,0,0,0,female,0,18,0,0,6,3,10.9,0,6,4,11.3,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,first choice,Tourism,daytime,Secondary education,158.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Technological specialization course,153.5,1,0,0,1,female,0,20,0,0,6,6,14.83333333,0,6,6,16.0,11.1,0.6,2.02,Graduate
single,Change of course,first choice,Journalism and Communication,daytime,Secondary education,137.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,127.9,1,0,0,1,female,0,20,0,0,6,6,11.83333333,0,6,6,12.85714286,15.5,2.8,-4.06,Graduate
single,2nd phase - general contingent,intermediate choice,Advertising and Marketing Management,daytime,Secondary education,123.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,118.8,1,1,0,1,female,1,18,0,0,6,5,12.0,0,6,5,12.33333333,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,first choice,Social Service,daytime,Secondary education,126.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,126.7,1,0,0,1,female,0,19,0,0,6,4,12.75,0,6,6,11.33333333,7.6,2.6,0.32,Graduate
divorced,Over 23 years old,first choice,Equinculture,daytime,Secondary education,133.1,Portuguese,Higher education - degree,Secondary education,110.0,1,0,0,1,female,1,30,0,0,6,1,12.0,0,6,6,11.1,11.1,0.6,2.02,Dropout
single,2nd phase - general contingent,first choice,Social Service,daytime,Secondary education,115.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,115.0,1,0,0,1,female,0,19,0,0,6,6,12.0,0,6,6,12.85714286,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,intermediate choice,Oral Hygiene,daytime,Secondary education,132.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,119.0,1,0,0,1,female,0,19,0,0,7,7,11.67777778,0,8,8,13.8,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,132.0,Portuguese,Secondary education,Basic education 1st cycle (4th/5th year) or equiv.,121.8,1,0,0,1,female,1,19,0,0,8,7,13.6,0,8,7,13.6,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,first choice,Veterinary Nursing,daytime,Secondary education,143.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,133.4,1,0,0,1,female,0,19,0,0,6,6,16.0,0,6,6,15.875,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,intermediate choice,Social Service,daytime,Secondary education,137.0,Portuguese,Secondary education,Secondary education,131.4,1,0,0,1,female,0,20,0,0,6,5,11.8,0,6,6,11.5,7.6,2.6,0.32,Graduate
single,Transfer,first choice,Informatics Engineering,daytime,Secondary education,130.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,135.0,0,0,1,1,male,0,25,0,0,5,2,10.5,2,6,1,10.9,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent,intermediate choice,Journalism and Communication,daytime,Secondary education,121.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,122.8,0,0,0,1,male,0,19,0,0,6,6,10.2,0,6,2,11.1,12.4,0.5,1.79,Dropout
married,Over 23 years old,first choice,Basic Education,daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 3rd cycle (9th/10th/11th year) or equiv,140.0,0,0,1,1,female,1,34,0,0,6,6,16.14285714,0,6,6,16.2,9.4,-0.8,-3.12,Graduate
single,3rd phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,135.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,125.3,1,0,0,1,female,1,18,0,0,8,7,11.78571429,0,8,7,11.78571429,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,last choice,Nursing,daytime,Secondary education,137.0,Portuguese,Secondary education,Secondary education,126.3,1,0,0,1,female,1,18,0,0,8,8,13.42375,0,8,8,13.42375,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,first choice,Advertising and Marketing Management,daytime,Secondary education,100.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,100.0,0,0,0,1,female,0,20,0,0,6,6,12.5,0,6,5,14.16666667,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,127.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,121.3,1,0,0,1,female,1,20,0,0,8,7,12.46428571,0,8,7,12.46428571,10.8,1.4,1.74,Graduate
single,Short cycle diploma holders,first choice,Management (evening attendance),evening,Secondary education,140.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,135.0,0,0,1,1,female,0,23,0,6,11,8,12.375,3,9,5,12.6,8.9,1.4,3.51,Enrolled
single,Over 23 years old,first choice,Advertising and Marketing Management,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,120.0,0,0,0,1,female,0,28,0,0,6,6,11.3,0,6,1,10.4,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,first choice,Journalism and Communication,daytime,Secondary education,121.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 3rd cycle (9th/10th/11th year) or equiv,113.7,0,0,0,1,female,0,18,0,0,6,5,12.6,0,6,6,12.42857143,15.5,2.8,-4.06,Enrolled
single,Change of course,first choice,Management,daytime,Secondary education,131.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,129.7,1,0,0,1,female,0,19,0,0,5,5,12.6,0,5,4,12.4,16.2,0.3,-0.92,Graduate
married,1st phase - general contingent,first choice,Management,daytime,Secondary education,151.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,132.1,1,0,0,1,female,0,34,0,0,5,3,11.2,0,5,1,10.2,7.6,2.6,0.32,Dropout
married,Change of institution/course,first choice,Basic Education,daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,120.3,0,0,0,1,female,0,35,0,0,7,2,10.6,0,6,4,11.3,8.9,1.4,3.51,Dropout
single,Holders of other higher courses,first choice,Management (evening attendance),evening,Higher education - degree (1st cycle),120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,120.0,0,0,0,1,female,0,32,0,0,5,5,11.6,0,5,5,12.33333333,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,intermediate choice,Tourism,daytime,Secondary education,136.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,123.1,1,0,0,1,female,0,19,0,0,6,6,12.16666667,0,6,6,13.5,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,intermediate choice,Advertising and Marketing Management,daytime,Secondary education,125.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,119.4,1,0,0,1,female,0,18,0,0,6,4,13.6,0,6,5,12.66666667,11.1,0.6,2.02,Graduate
married,Over 23 years old,first choice,Management,daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,140.0,0,0,0,0,female,0,35,0,0,5,3,11.7,0,5,4,11.8,9.4,-0.8,-3.12,Dropout
single,Over 23 years old,first choice,Social Service (evening attendance),evening,Secondary education,133.1,Portuguese,Secondary education,Other - 11th year of schooling,116.5,0,0,0,1,male,1,24,0,0,6,4,12.25,0,6,4,11.5,12.4,0.5,1.79,Enrolled
single,2nd phase - general contingent,first choice,Social Service,daytime,Secondary education,120.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,113.0,1,0,0,1,female,1,20,0,0,6,6,11.71428571,0,6,6,12.625,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,intermediate choice,Journalism and Communication,daytime,Secondary education,143.0,Italian,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,133.9,1,0,0,1,male,1,18,1,0,6,6,13.5,0,6,6,13.0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,133.1,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,115.5,1,0,0,1,male,1,20,0,0,8,7,13.02428571,0,8,7,13.02428571,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,intermediate choice,Tourism,daytime,Secondary education,121.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,116.5,1,0,0,0,male,0,18,0,0,6,3,12.1,0,6,1,11.1,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,first choice,Informatics Engineering,daytime,Secondary education,168.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,171.2,0,0,0,1,male,1,18,0,0,5,5,17.33333333,0,5,5,18.57142857,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,first choice,Advertising and Marketing Management,daytime,Secondary education,124.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,119.1,0,0,0,1,male,1,20,0,0,5,4,11.0,0,5,4,11.5,9.4,-0.8,-3.12,Graduate
single,2nd phase - general contingent,intermediate choice,Basic Education,daytime,Secondary education,127.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,121.1,1,0,0,1,male,0,19,0,0,7,7,11.4,0,7,4,11.6,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,intermediate choice,Communication Design,daytime,Secondary education,129.0,Portuguese,Secondary education,Secondary education,132.9,1,0,0,1,male,1,20,0,0,6,6,11.375,0,6,5,13.8,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,first choice,Social Service,daytime,Secondary education,137.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Secondary education,132.8,0,0,0,1,male,0,19,0,0,6,6,12.83333333,0,6,6,11.83333333,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,first choice,Journalism and Communication,daytime,Secondary education,120.0,Portuguese,Can read without having a 4th year of schooling,Basic education 1st cycle (4th/5th year) or equiv.,126.7,1,0,0,1,male,0,20,0,0,6,5,12.6,0,6,4,11.5,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,first choice,Nursing,daytime,Secondary education,110.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,105.8,1,0,0,1,male,0,22,0,0,7,6,14.33333333,0,8,7,13.77142857,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,intermediate choice,Informatics Engineering,daytime,Secondary education,120.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,117.2,0,0,0,1,male,1,18,0,0,5,4,13.5,0,6,6,13.625,11.1,0.6,2.02,Enrolled
single,1st phase - general contingent,first choice,Nursing,daytime,Secondary education,143.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,140.0,0,0,0,1,male,0,19,0,0,8,7,14.28571429,0,8,7,14.28571429,12.7,3.7,-1.7,Graduate
single,Technological specialization diploma holders,first choice,Agronomy,daytime,Technological specialization course,120.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,120.0,0,0,0,1,male,0,22,0,2,6,4,11.7,0,6,3,10.5,13.9,-0.3,0.79,Dropout
single,2nd phase - general contingent,intermediate choice,Informatics Engineering,daytime,Secondary education,124.0,Italian,Higher education - master,Other - 11th year of schooling,119.5,1,0,0,1,male,0,20,1,0,5,5,14.8,0,5,5,17.6,8.9,1.4,3.51,Graduate
married,Over 23 years old,first choice,Agronomy,daytime,Secondary education,168.0,Portuguese,Secondary education,Specialized higher studies course,153.9,0,0,1,0,male,0,34,0,0,6,4,11.9,0,6,3,11.2,12.4,0.5,1.79,Dropout
married,Over 23 years old,first choice,Social Service (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv,133.1,Portuguese,Secondary education,Secondary education,130.0,0,0,0,1,male,0,24,0,0,6,1,10.4,0,5,1,11.1,16.2,0.3,-0.92,Dropout
single,Over 23 years old,intermediate choice,Advertising and Marketing Management,daytime,Secondary education,150.0,Portuguese,,,107.0,1,0,0,1,male,0,26,0,0,5,1,10.1,0,5,5,10.2,7.6,2.6,0.32,Dropout
single,Over 23 years old,first choice,Nursing,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,132.8,0,0,0,1,male,0,35,0,0,7,2,11.6,0,7,6,10.8,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,first choice,Management (evening attendance),evening,Secondary education,145.0,Portuguese,Higher education - bachelor degree,Basic education 1st cycle (4th/5th year) or equiv.,127.5,1,0,0,1,male,0,22,0,0,5,5,12.42857143,0,5,5,11.8,7.6,2.6,0.32,Graduate
single,3rd phase - general contingent,first choice,Tourism,daytime,Secondary education,118.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,123.3,1,0,0,1,male,0,26,0,0,6,4,10.0,0,6,3,12.0,9.4,-0.8,-3.12,Enrolled
single,2nd phase - general contingent,first choice,Management,daytime,Secondary education,123.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,122.0,0,0,0,1,male,0,19,0,0,5,1,10.8,0,5,5,11.4,8.9,1.4,3.51,Dropout
single,1st phase - general contingent,intermediate choice,Tourism,daytime,Secondary education,120.0,Portuguese,Higher education - degree,Basic education 3rd cycle (9th/10th/11th year) or equiv,114.8,1,0,0,0,male,0,19,0,0,6,1,12.1,0,6,6,11.0,8.9,1.4,3.51,Dropout
single,Change of institution/course,first choice,Advertising and Marketing Management,daytime,Secondary education,126.0,Portuguese,Higher education - degree,Higher education - degree,111.0,0,0,1,1,male,0,21,0,5,11,10,12.1,2,8,8,13.33333333,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,intermediate choice,Journalism and Communication,daytime,Secondary education,137.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,133.2,1,0,0,1,female,1,19,0,0,6,6,14.71428571,0,6,6,15.0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,intermediate choice,Journalism and Communication,daytime,Secondary education,130.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,123.0,1,0,0,1,female,0,18,0,0,6,6,12.66666667,0,6,6,12.83333333,12.7,3.7,-1.7,Graduate
single,Short cycle diploma holders,first choice,Agronomy,daytime,Professional higher technical course,150.0,Portuguese,Secondary education,Basic education 2nd cycle (6th/7th/8th year) or equiv,150.0,0,0,0,1,female,1,23,0,7,12,12,14.38461538,5,10,10,13.3,8.9,1.4,3.51,Graduate
single,2nd phase - general contingent,intermediate choice,Management,daytime,Secondary education,147.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,132.3,1,0,0,1,female,1,18,0,0,5,5,13.4,0,5,5,12.2,12.7,3.7,-1.7,Graduate
single,3rd phase - general contingent,first choice,Nursing,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 2nd cycle (6th/7th/8th year) or equiv,126.0,1,0,0,1,female,0,18,0,0,8,7,13.31428571,0,8,7,13.31428571,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,132.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,119.3,1,0,0,1,female,0,19,0,0,8,7,11.98857143,0,8,7,11.98857143,10.8,1.4,1.74,Graduate
single,Short cycle diploma holders,first choice,Management,daytime,Professional higher technical course,130.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,133.8,1,0,0,1,female,0,21,0,6,11,11,11.54545455,3,9,8,12.88888889,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,first choice,Veterinary Nursing,daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,126.5,1,0,0,1,female,1,18,0,0,6,6,16.46153846,0,6,6,13.875,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,first choice,Journalism and Communication,daytime,Secondary education,151.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,138.4,1,0,0,1,female,1,24,0,0,6,6,13.66666667,0,6,6,12.83333333,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,144.0,Portuguese,Higher education - degree,Technological specialization course,129.0,1,0,0,1,female,0,18,0,0,7,6,10.6,0,8,1,10.4,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,first choice,Advertising and Marketing Management,daytime,Secondary education,127.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Secondary education,118.3,1,0,0,1,female,0,18,0,0,6,6,12.33333333,0,6,3,12.0,13.9,-0.3,0.79,Enrolled
single,2nd phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,131.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,129.8,1,0,0,1,female,0,20,0,0,7,6,14.37,0,8,7,14.65,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,intermediate choice,Veterinary Nursing,daytime,Secondary education,123.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,113.6,1,0,0,1,female,0,19,0,0,5,3,12.0,0,5,4,11.75,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,intermediate choice,Journalism and Communication,daytime,Secondary education,130.0,Portuguese,,Basic education 2nd cycle (6th/7th/8th year) or equiv,128.3,1,0,0,0,female,1,18,0,0,6,5,10.5,0,6,4,10.2,7.6,2.6,0.32,Dropout
single,Change of course,first choice,Tourism,daytime,Secondary education,130.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,130.0,0,0,0,1,female,1,19,0,0,6,5,10.2,0,6,3,11.5,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,intermediate choice,Basic Education,daytime,Secondary education,131.0,Portuguese,Secondary education,Basic education 2nd cycle (6th/7th/8th year) or equiv,121.9,1,0,0,1,female,0,19,0,0,6,5,12.6,0,6,5,11.2,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,intermediate choice,Social Service,daytime,Higher education - degree,135.0,Portuguese,Secondary education,Basic education 2nd cycle (6th/7th/8th year) or equiv,129.4,0,0,1,1,female,0,18,0,0,6,6,12.16666667,0,6,6,12.33333333,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,intermediate choice,Basic Education,daytime,Secondary education,123.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Secondary education,115.3,1,0,0,1,female,0,20,0,0,7,6,13.5,0,7,6,14.0,11.1,0.6,2.02,Enrolled
single,1st phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,145.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,125.5,1,0,0,1,female,1,18,0,0,8,8,13.76375,0,8,8,13.76375,9.4,-0.8,-3.12,Graduate
single,2nd phase - general contingent,last choice,Oral Hygiene,daytime,Secondary education,118.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,117.8,1,0,0,1,female,1,19,0,0,7,6,12.4,0,7,6,12.8,11.1,0.6,2.02,Graduate
